L1D_CACHE_REFILL,0x8000003
L1D_CACHE,0x8000004
L1D_TLB_REFILL,0x8000005
INST_RETIRED,0x8000008
BR_MIS_PRED,0x8000010
CPU_CYCLES,0x8000011
BR_PRED,0x8000012
L1I_CACHE,0x8000014
L1D_CACHE_WB,0x8000015
L2D_CACHE,0x8000016
L2D_CACHE_REFILL,0x8000017
L2D_CACHE_WB,0x8000018
INST_SPEC,0x800001b
STALL_FRONTEND,0x8000023
STALL_BACKEND,0x8000024
L2D_TLB_REFILL,0x800002d
L2D_TLB,0x800002f
L1D_CACHE_REFILL_PRF,0x8000049
L2D_CACHE_REFILL_PRF,0x8000059
LD_SPEC,0x8000070
ROB_EMPTY,0x800018c
ROB_EMPTY_STQ_BUSY,0x800018d
L2D_SWAP_DM,0x8000325
L2D_CACHE_MIBMCH_PRF,0x8000326
L2_PIPE_COMP_PF_L2MIB_MCH,0x8000370
LD_COMP_WAIT_PFP_BUSY,0x8000186
LD_COMP_WAIT_PFP_BUSY_EX,0x8000187
LD_COMP_WAIT_PFP_BUSY_SWPF,0x8000188
L1_PIPE0_VAL_IU_TAG_ADRS_PFE,0x8000251
L1_PIPE1_VAL_IU_TAG_ADRS_PFE,0x8000253
L1HWPF_STREAM_PF,0x8000230
L1HWPF_INJ_ALLOC_PF,0x8000231
L1HWPF_INJ_NOALLOC_PF,0x8000232
L2HWPF_STREAM_PF,0x8000233
L2HWPF_INJ_ALLOC_PF,0x8000234
L2HWPF_INJ_NOALLOC_PF,0x8000235
L2HWPF_OTHER,0x8000236
L1_PIPE0_VAL,0x8000240
L1_PIPE1_VAL,0x8000241
L2_PIPE_COMP_ALL,0x8000350
L2_PIPE_VAL,0x8000330
L2D_CACHE_SWAP_LOCAL,0x8000396
