INSTRUCTION_RETIRED,0x5300c0
LLC_REFERENCES,0x534f2e
LLC_MISSES,0x53412e
BRANCH_INSTRUCTIONS_RETIRED,0x5300c4
MISPREDICTED_BRANCH_RETIRED,0x5300c5
UNHALTED_CORE_CYCLES,0x53003c
L1D.REPLACEMENT,0x530151
L1D_PEND_MISS.PENDING,0x530148
L1D_PEND_MISS.FB_FULL,0x1530248
LOAD_HIT_PRE.HW_PF,0x53024c
LOAD_HIT_PRE.SW_PF,0x53014c
MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM,0x5301d3
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM,0x5304d3
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM,0x5310d3
MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD,0x5320d3
MEM_LOAD_UOPS_RETIRED.L1_HIT,0x5301d1
MEM_LOAD_UOPS_RETIRED.L2_HIT,0x5302d1
MEM_LOAD_UOPS_RETIRED.L3_HIT,0x5304d1
MEM_LOAD_UOPS_RETIRED.L1_MISS,0x5308d1
MEM_LOAD_UOPS_RETIRED.L2_MISS,0x5310d1
MEM_LOAD_UOPS_RETIRED.L3_MISS,0x5320d1
MEM_LOAD_UOPS_RETIRED.HIT_LFB,0x5340d1
MEM_UOPS_RETIRED.ALL_LOADS,0x5381d0
RESOURCE_STALLS.ANY,0x5301a2
RESOURCE_STALLS.ALL,0x5301a2
RESOURCE_STALLS.RS,0x5304a2
RESOURCE_STALLS.SB,0x5308a2
RESOURCE_STALLS.ROB,0x5310a2
