UNHALTED_CORE_CYCLES,0x53003c
LLC_REFERENCES,0x534f2e
LLC_MISSES,0x53412e
BRANCH_INSTRUCTIONS_RETIRED,0x5300c4
MISPREDICTED_BRANCH_RETIRED,0x5300c5
UNC_C_LLC_LOOKUP.ANY,0x1134
UNC_C_LLC_LOOKUP.DATA_READ,0x334
UNC_C_LLC_LOOKUP.LOCAL,0x3134
UNC_C_LLC_LOOKUP.REMOTE,0x9134
UNC_IO_VTD_ACCESS.L1_MISS,0x441
UNC_IO_VTD_ACCESS.L2_MISS,0x841
UNC_IO_VTD_ACCESS.L3_MISS,0x1041
UNC_IO_VTD_ACCESS.L4_PAGE_HIT,0x141
UNC_IO_VTD_ACCESS.TLB1_MISS,0x8041
UNC_IO_VTD_ACCESS.TLB_FULL,0x4041
UNC_IO_VTD_ACCESS.TLB_MISS,0x2041
UNHALTED_REFERENCE_CYCLES,0x530300
INSTRUCTION_RETIRED,0x5300c0
CYCLE_ACTIVITY.CYCLES_L2_PENDING,0x15301a3
CYCLE_ACTIVITY.CYCLES_LDM_PENDING,0x25302a3
CYCLE_ACTIVITY.CYCLES_L1D_PENDING,0x85308a3
CYCLE_ACTIVITY.STALLS_L1D_MISS,0xc530ca3
CYCLE_ACTIVITY.STALLS_L2_MISS,0x55305a3
CYCLE_ACTIVITY.STALLS_L3_MISS,0x65306a3
CYCLE_ACTIVITY.STALLS_MEM_ANY,0x145314a3
CYCLE_ACTIVITY.STALLS_TOTAL,0x45304a3
L1D_PEND_MISS.FB_FULL,0x530248
L2_RQSTS.DEMAND_DATA_RD_MISS,0x532124
L2_RQSTS.DEMAND_DATA_RD_HIT,0x53c124
SW_PREFETCH.NTA,0x530132
SW_PREFETCH.T0,0x530232
SW_PREFETCH.T1_T2,0x530432
